Case Nr,Case Record Type,Subject,Age in Days,Case Origin,Potential Liability,Case Reason,Status,First Contact Resolution,Priority,CSAT
CN-0000058,CSAT,CN-0000058 - Installation - Chat,29,Chat,TRUE,Installation,Working,TRUE,Low,-1125
CN-0000059,CSAT,CN-0000059 - Equipment Complexity - Phone,5,Phone,FALSE,Equipment Complexity,Closed,FALSE,Medium,7200
CN-0000060,CSAT,CN-0000060 - Feedback - Phone,11,Phone,TRUE,Feedback,Closed,TRUE,Low,-6750
CN-0000061,CSAT,CN-0000061 - Installation - Chat,22,Chat,TRUE,Installation,Working,TRUE,Low,-1125
CN-0000062,CSAT,CN-0000062 - Equipment Complexity - Phone,45,Phone,TRUE,Equipment Complexity,Working,TRUE,High,-1800
CN-0000063,CSAT,CN-0000063 - Performance - Phone,4,Phone,TRUE,Performance,Closed,TRUE,Low,-5400
CN-0000064,CSAT,CN-0000064 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,High,-2700
CN-0000065,CSAT,CN-0000065 - Equipment Complexity - Chat,30,Chat,TRUE,Equipment Complexity,New,FALSE,Low,3600
CN-0000066,CSAT,CN-0000066 - Installation - Phone,29,Phone,FALSE,Installation,Working,FALSE,Medium,1000
CN-0000067,CSAT,CN-0000067 - Installation - Phone,19,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000068,CSAT,CN-0000068 - Breakdown - Phone,17,Phone,FALSE,Breakdown,Closed,FALSE,Low,7500
CN-0000069,CSAT,CN-0000069 - Equipment Design - Phone,26,Phone,TRUE,Equipment Design,Working,TRUE,Low,-1125
CN-0000070,CSAT,CN-0000070 - Installation - Phone,32,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000071,CSAT,CN-0000071 - Feedback - Phone,16,Phone,FALSE,Feedback,Closed,TRUE,Low,-9000
CN-0000072,CSAT,CN-0000072 - Installation - Phone,21,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000073,CSAT,CN-0000073 - Equipment Complexity - Chat,26,Chat,TRUE,Equipment Complexity,Working,TRUE,Low,-2250
CN-0000074,CSAT,CN-0000074 - Installation - Phone,32,Phone,TRUE,Installation,Working,FALSE,Low,300
CN-0000075,CSAT,CN-0000075 - Installation - Phone,25,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000076,CSAT,CN-0000076 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000077,CSAT,CN-0000077 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000078,CSAT,CN-0000078 - Installation - Phone,1,Phone,TRUE,Installation,Closed,FALSE,Medium,2700
CN-0000079,CSAT,CN-0000079 - Installation - Phone,30,Phone,FALSE,Installation,Working,FALSE,Low,400
CN-0000080,CSAT,CN-0000080 - Installation - Phone,22,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000081,CSAT,CN-0000081 - Installation - Phone,29,Phone,TRUE,Installation,Working,FALSE,Low,375
CN-0000082,CSAT,CN-0000082 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Low,800
CN-0000083,CSAT,CN-0000083 - Installation - Phone,28,Phone,TRUE,Installation,Working,TRUE,High,-1125
CN-0000084,CSAT,CN-0000084 - Installation - Phone,17,Phone,FALSE,Installation,Working,FALSE,Medium,1000
CN-0000085,CSAT,CN-0000085 - Performance - Phone,33,Phone,FALSE,Performance,Working,FALSE,Low,1600
CN-0000086,CSAT,CN-0000086 - Equipment Complexity - Phone,16,Phone,TRUE,Equipment Complexity,Waiting on Customer,TRUE,Low,-3000
CN-0000087,CSAT,CN-0000087 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000088,CSAT,CN-0000088 - Performance - Phone,23,Phone,FALSE,Performance,Closed,FALSE,High,18000
CN-0000089,CSAT,CN-0000089 - Installation - Phone,24,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000090,CSAT,CN-0000090 - Installation - Phone,29,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000091,CSAT,CN-0000091 - Installation - Phone,20,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000092,CSAT,CN-0000092 - Equipment Complexity - Phone,46,Phone,TRUE,Equipment Complexity,Working,TRUE,High,-1800
CN-0000093,CSAT,CN-0000093 - Equipment Complexity - Phone,26,Phone,TRUE,Equipment Complexity,Closed,TRUE,Low,-2250
CN-0000094,CSAT,CN-0000094 - Installation - Phone,59,Phone,TRUE,Installation,Working,TRUE,Low,-225
CN-0000095,CSAT,CN-0000095 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000096,CSAT,CN-0000096 - Installation - Chat,71,Chat,TRUE,Installation,Working,TRUE,High,-1350
CN-0000097,CSAT,CN-0000097 - Installation - Chat,23,Chat,TRUE,Installation,New,FALSE,High,6750
CN-0000098,CSAT,CN-0000098 - Installation - Phone,34,Phone,FALSE,Installation,New,FALSE,Medium,1600
CN-0000099,CSAT,CN-0000099 - Equipment Complexity - Phone,34,Phone,TRUE,Equipment Complexity,Working,TRUE,Medium,-1200
CN-0000100,CSAT,CN-0000100 - Installation - Phone,28,Phone,FALSE,Installation,Working,TRUE,Low,-500
CN-0000101,CSAT,CN-0000101 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000102,CSAT,CN-0000102 - Installation - Phone,21,Phone,TRUE,Installation,New,TRUE,High,-2250
CN-0000103,CSAT,CN-0000103 - Installation - Phone,33,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000104,CSAT,CN-0000104 - Equipment Design - Phone,37,Phone,TRUE,Equipment Design,Working,TRUE,Low,-900
CN-0000105,CSAT,CN-0000105 - Installation - Phone,28,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000106,CSAT,CN-0000106 - Installation - Phone,21,Phone,FALSE,Installation,Working,FALSE,Low,500
CN-0000107,CSAT,CN-0000107 - Installation - Phone,30,Phone,TRUE,Installation,Working,FALSE,Low,300
CN-0000108,CSAT,CN-0000108 - Installation - Phone,38,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000109,CSAT,CN-0000109 - Equipment Complexity - Email,30,Email,FALSE,Equipment Complexity,Working,FALSE,Low,1600
CN-0000110,CSAT,CN-0000110 - Installation - Phone,47,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000111,CSAT,CN-0000111 - Equipment Complexity - Chat,15,Chat,FALSE,Equipment Complexity,Working,TRUE,Low,-3000
CN-0000112,CSAT,CN-0000112 - Installation - Phone,22,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000113,CSAT,CN-0000113 - Equipment Complexity - Phone,20,Phone,FALSE,Equipment Complexity,Working,TRUE,Low,-1000
CN-0000114,CSAT,CN-0000114 - Installation - Chat,17,Chat,FALSE,Installation,Working,TRUE,Low,-1500
CN-0000115,CSAT,CN-0000115 - Installation - Phone,21,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000116,CSAT,CN-0000116 - Installation - Email,71,Email,TRUE,Installation,Working,TRUE,Low,-300
CN-0000117,CSAT,CN-0000117 - Equipment Complexity - Phone,29,Phone,TRUE,Equipment Complexity,Working,TRUE,Medium,-1500
CN-0000118,CSAT,CN-0000118 - Installation - Chat,24,Chat,TRUE,Installation,New,TRUE,High,-6750
CN-0000119,CSAT,CN-0000119 - Breakdown - Phone,2,Phone,FALSE,Breakdown,Closed,TRUE,Low,-9000
CN-0000120,CSAT,CN-0000120 - Equipment Design - Phone,21,Phone,TRUE,Equipment Design,Working,TRUE,Medium,-2250
CN-0000121,CSAT,CN-0000121 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000122,CSAT,CN-0000122 - Equipment Complexity - Chat,33,Chat,TRUE,Equipment Complexity,Working,TRUE,Medium,-3600
CN-0000123,CSAT,CN-0000123 - Installation - Phone,33,Phone,FALSE,Installation,Working,FALSE,Medium,800
CN-0000124,CSAT,CN-0000124 - Installation - Phone,54,Phone,TRUE,Installation,New,TRUE,High,-1350
CN-0000125,CSAT,CN-0000125 - Equipment Complexity - Chat,12,Chat,TRUE,Equipment Complexity,Working,FALSE,Low,2250
CN-0000126,CSAT,CN-0000126 - Installation - Email,30,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000127,CSAT,CN-0000127 - Installation - Phone,24,Phone,TRUE,Installation,Working,FALSE,Low,375
CN-0000128,CSAT,CN-0000128 - Equipment Complexity - Chat,30,Chat,FALSE,Equipment Complexity,New,FALSE,Low,4800
CN-0000129,CSAT,CN-0000129 - Installation - Phone,45,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000130,CSAT,CN-0000130 - Installation - Chat,33,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000131,CSAT,CN-0000131 - Installation - Phone,20,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000132,CSAT,CN-0000132 - Equipment Complexity - Phone,47,Phone,FALSE,Equipment Complexity,Working,TRUE,Low,-800
CN-0000133,CSAT,CN-0000133 - Equipment Complexity - Phone,29,Phone,FALSE,Equipment Complexity,Working,FALSE,Medium,2000
CN-0000134,CSAT,CN-0000134 - Installation - Phone,25,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000135,CSAT,CN-0000135 - Installation - Chat,23,Chat,TRUE,Installation,Working,TRUE,Medium,-2250
CN-0000136,CSAT,CN-0000136 - Installation - Phone,19,Phone,FALSE,Installation,Closed,FALSE,High,4500
CN-0000137,CSAT,CN-0000137 - Equipment Complexity - Phone,37,Phone,TRUE,Equipment Complexity,Working,TRUE,High,-1800
CN-0000138,CSAT,CN-0000138 - Installation - Phone,16,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000139,CSAT,CN-0000139 - Installation - Chat,24,Chat,TRUE,Installation,Working,TRUE,High,-3375
CN-0000140,CSAT,CN-0000140 - Installation - Chat,30,Chat,FALSE,Installation,Closed,TRUE,Low,-3600
CN-0000141,CSAT,CN-0000141 - Installation - Phone,22,Phone,FALSE,Installation,Working,FALSE,Low,500
CN-0000142,CSAT,CN-0000142 - Equipment Complexity - Phone,24,Phone,FALSE,Equipment Complexity,Working,FALSE,Low,1000
CN-0000143,CSAT,CN-0000143 - Installation - Email,19,Email,TRUE,Installation,Working,TRUE,Low,-750
CN-0000144,CSAT,CN-0000144 - Installation - Phone,18,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000145,CSAT,CN-0000145 - Equipment Complexity - Phone,19,Phone,TRUE,Equipment Complexity,New,TRUE,Medium,-3000
CN-0000146,CSAT,CN-0000146 - Installation - Phone,27,Phone,TRUE,Installation,Working,FALSE,Low,375
CN-0000147,CSAT,CN-0000147 - Equipment Design - Phone,9,Phone,FALSE,Equipment Design,Closed,TRUE,Low,-5400
CN-0000148,CSAT,CN-0000148 - Installation - Phone,37,Phone,TRUE,Installation,Closed,TRUE,Medium,-1800
CN-0000149,CSAT,CN-0000149 - Installation - Phone,42,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000150,CSAT,CN-0000150 - Installation - Phone,51,Phone,TRUE,Installation,Working,TRUE,Medium,-450
CN-0000151,CSAT,CN-0000151 - Equipment Complexity - Phone,22,Phone,FALSE,Equipment Complexity,Working,FALSE,High,3000
CN-0000152,CSAT,CN-0000152 - Installation - Phone,56,Phone,TRUE,Installation,Working,TRUE,Low,-225
CN-0000153,CSAT,CN-0000153 - Installation - Phone,41,Phone,TRUE,Installation,Closed,TRUE,Low,-900
CN-0000154,CSAT,CN-0000154 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000155,CSAT,CN-0000155 - Installation - Chat,51,Chat,TRUE,Installation,New,TRUE,High,-4050
CN-0000156,CSAT,CN-0000156 - Installation - Email,16,Email,FALSE,Installation,Working,FALSE,Low,1000
CN-0000157,CSAT,CN-0000157 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000158,CSAT,CN-0000158 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000159,CSAT,CN-0000159 - Other - Phone,30,Phone,TRUE,Other,Closed,TRUE,Low,-8100
CN-0000160,CSAT,CN-0000160 - Installation - Phone,44,Phone,TRUE,Installation,New,TRUE,Low,-600
CN-0000161,CSAT,CN-0000161 - Installation - Phone,40,Phone,FALSE,Installation,Working,FALSE,Medium,800
CN-0000162,CSAT,CN-0000162 - Installation - Phone,26,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000163,CSAT,CN-0000163 - Installation - Phone,17,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000164,CSAT,CN-0000164 - Breakdown - Phone,1,Phone,TRUE,Breakdown,New,TRUE,Low,-4500
CN-0000165,CSAT,CN-0000165 - Installation - Phone,9,Phone,TRUE,Installation,Closed,FALSE,Low,1350
CN-0000166,CSAT,CN-0000166 - Installation - Phone,30,Phone,FALSE,Installation,New,FALSE,High,2400
CN-0000167,CSAT,CN-0000167 - Equipment Complexity - Phone,45,Phone,FALSE,Equipment Complexity,Escalated,TRUE,Low,-4000
CN-0000168,CSAT,CN-0000168 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000169,CSAT,CN-0000169 - Installation - Phone,28,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000170,CSAT,CN-0000170 - Installation - Phone,61,Phone,TRUE,Installation,Working,TRUE,High,-675
CN-0000171,CSAT,CN-0000171 - Breakdown - Email,4,Email,TRUE,Breakdown,New,TRUE,Low,-9000
CN-0000172,CSAT,CN-0000172 - Equipment Complexity - Phone,1,Phone,FALSE,Equipment Complexity,New,FALSE,Low,2400
CN-0000173,CSAT,CN-0000173 - Installation - Phone,21,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000174,CSAT,CN-0000174 - Installation - Chat,56,Chat,TRUE,Installation,Working,TRUE,High,-2025
CN-0000175,CSAT,CN-0000175 - Equipment Complexity - Phone,18,Phone,TRUE,Equipment Complexity,New,TRUE,Low,-1500
CN-0000176,CSAT,CN-0000176 - Performance - Phone,30,Phone,TRUE,Performance,New,TRUE,Low,-2400
CN-0000177,CSAT,CN-0000177 - Installation - Chat,50,Chat,FALSE,Installation,Working,TRUE,High,-2700
CN-0000178,CSAT,CN-0000178 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000179,CSAT,CN-0000179 - Installation - Phone,36,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000180,CSAT,CN-0000180 - Other - Phone,30,Phone,FALSE,Other,Closed,TRUE,Low,-10800
CN-0000181,CSAT,CN-0000181 - Installation - Chat,30,Chat,TRUE,Installation,Working,TRUE,Medium,-1800
CN-0000182,CSAT,CN-0000182 - Breakdown - Phone,9,Phone,TRUE,Breakdown,Closed,TRUE,Low,-6750
CN-0000183,CSAT,CN-0000183 - Equipment Design - Phone,1,Phone,TRUE,Equipment Design,New,FALSE,Medium,5400
CN-0000184,CSAT,CN-0000184 - Installation - Phone,4,Phone,FALSE,Installation,Closed,FALSE,Low,1800
CN-0000185,CSAT,CN-0000185 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,High,-900
CN-0000186,CSAT,CN-0000186 - Equipment Complexity - Email,30,Email,FALSE,Equipment Complexity,Working,FALSE,Low,1600
CN-0000187,CSAT,CN-0000187 - Installation - Phone,45,Phone,TRUE,Installation,Working,FALSE,High,900
CN-0000188,CSAT,CN-0000188 - Equipment Complexity - Email,40,Email,TRUE,Equipment Complexity,New,TRUE,Low,-2400
CN-0000189,CSAT,CN-0000189 - Installation - Phone,36,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000190,CSAT,CN-0000190 - Installation - Phone,32,Phone,FALSE,Installation,Working,FALSE,Medium,800
CN-0000191,CSAT,CN-0000191 - Installation - Phone,19,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000192,CSAT,CN-0000192 - Equipment Complexity - Phone,19,Phone,FALSE,Equipment Complexity,Working,FALSE,Low,1000
CN-0000193,CSAT,CN-0000193 - Equipment Complexity - Phone,3,Phone,TRUE,Equipment Complexity,New,FALSE,Medium,3600
CN-0000194,CSAT,CN-0000194 - Installation - Chat,44,Chat,FALSE,Installation,Working,FALSE,High,3600
CN-0000195,CSAT,CN-0000195 - Installation - Chat,58,Chat,FALSE,Installation,Working,FALSE,High,2700
CN-0000196,CSAT,CN-0000196 - Installation - Email,30,Email,TRUE,Installation,Working,TRUE,Low,-600
CN-0000197,CSAT,CN-0000197 - Installation - Phone,42,Phone,TRUE,Installation,New,TRUE,Low,-600
CN-0000198,CSAT,CN-0000198 - Installation - Email,30,Email,FALSE,Installation,Working,FALSE,Low,800
CN-0000199,CSAT,CN-0000199 - Installation - Phone,24,Phone,FALSE,Installation,Working,TRUE,Medium,-1000
CN-0000200,CSAT,CN-0000200 - Installation - Phone,28,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000201,CSAT,CN-0000201 - Other - Phone,30,Phone,TRUE,Other,Closed,TRUE,Low,-8100
CN-0000202,CSAT,CN-0000202 - Installation - Phone,34,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000203,CSAT,CN-0000203 - Installation - Chat,46,Chat,TRUE,Installation,Working,TRUE,Low,-900
CN-0000204,CSAT,CN-0000204 - Installation - Phone,18,Phone,TRUE,Installation,Working,FALSE,Low,375
CN-0000205,CSAT,CN-0000205 - Installation - Phone,2,Phone,FALSE,Installation,New,TRUE,Low,-1200
CN-0000206,CSAT,CN-0000206 - Equipment Complexity - Phone,32,Phone,TRUE,Equipment Complexity,Working,TRUE,Low,-600
CN-0000207,CSAT,CN-0000207 - Installation - Chat,26,Chat,TRUE,Installation,Working,FALSE,Low,1125
CN-0000208,CSAT,CN-0000208 - Installation - Email,16,Email,FALSE,Installation,Working,FALSE,Low,1000
CN-0000209,CSAT,CN-0000209 - Installation - Chat,40,Chat,TRUE,Installation,Working,FALSE,High,2700
CN-0000210,CSAT,CN-0000210 - Installation - Phone,24,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000211,CSAT,CN-0000211 - Installation - Phone,35,Phone,FALSE,Installation,Working,FALSE,Medium,800
CN-0000212,CSAT,CN-0000212 - Installation - Phone,22,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000213,CSAT,CN-0000213 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000214,CSAT,CN-0000214 - Equipment Complexity - Email,30,Email,TRUE,Equipment Complexity,Working,TRUE,Low,-1200
CN-0000215,CSAT,CN-0000215 - Equipment Complexity - Chat,31,Chat,FALSE,Equipment Complexity,Working,FALSE,High,7200
CN-0000216,CSAT,CN-0000216 - Installation - Phone,27,Phone,FALSE,Installation,Working,FALSE,Low,500
CN-0000217,CSAT,CN-0000217 - Equipment Complexity - Phone,42,Phone,TRUE,Equipment Complexity,Working,TRUE,Medium,-1200
CN-0000218,CSAT,CN-0000218 - Installation - Chat,32,Chat,FALSE,Installation,Working,FALSE,High,3600
CN-0000219,CSAT,CN-0000219 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Medium,-600
CN-0000220,CSAT,CN-0000220 - Installation - Phone,16,Phone,TRUE,Installation,Working,FALSE,Low,375
CN-0000221,CSAT,CN-0000221 - Installation - Phone,27,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000222,CSAT,CN-0000222 - Installation - Phone,51,Phone,TRUE,Installation,Working,TRUE,Low,-225
CN-0000223,CSAT,CN-0000223 - Installation - Phone,30,Phone,TRUE,Installation,Working,TRUE,Low,-300
CN-0000224,CSAT,CN-0000224 - Equipment Complexity - Phone,38,Phone,TRUE,Equipment Complexity,Working,FALSE,High,1800
CN-0000225,CSAT,CN-0000225 - Installation - Phone,22,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000226,CSAT,CN-0000226 - Installation - Phone,19,Phone,TRUE,Installation,Working,FALSE,Medium,750
CN-0000227,CSAT,CN-0000227 - Installation - Phone,21,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000228,CSAT,CN-0000228 - Installation - Phone,18,Phone,TRUE,Installation,Working,TRUE,Medium,-750
CN-0000229,CSAT,CN-0000229 - Performance - Phone,30,Phone,FALSE,Performance,New,TRUE,Low,-3200
CN-0000230,CSAT,CN-0000230 - Equipment Complexity - Phone,35,Phone,FALSE,Equipment Complexity,Working,FALSE,High,2400
CN-0000231,CSAT,CN-0000231 - Installation - Phone,29,Phone,TRUE,Installation,Working,TRUE,Low,-375
CN-0000232,CSAT,CN-0000232 - Installation - Phone,59,Phone,TRUE,Installation,Working,TRUE,Medium,-450
